model,provider,api_model,session_id,session_label,schema_version,design_status,analysis_role,mode,sequence,block,repetition,target_tokens,prepared_tokens,total_input_tokens,new_input_tokens,cache_read_tokens,cache_write_tokens,output_tokens,reasoning_tokens,thinking_blocks,timestamp,request_started_at,request_completed_at,headers_seconds,first_event_seconds,first_content_seconds,ttft_seconds,total_seconds,request_bytes,status_code,returned_model,requested_service_tier,returned_service_tier,instruction_mode,nonce_position,output_compliant,prompt_sha256,stable_prefix_sha256,cache_key_sha256,shared_cache_prefix_requested_tokens,estimated_cost_usd
GPT-5.6 Sol,openai,gpt-5.6-sol,20260812T184143Z-1b3947c0,sol-cache-disabled-smoke,,legacy_balanced,cache-disabled smoke test,uncached,1,1,0,750000,750000,750000,750000,0,0,22,,,2026-08-12T18:42:00.258962+00:00,,,1.960890152,1.961079406,16.170387518,16.189920573,17.126055014,3202158,200,gpt-5.6-sol,,,,,,6e46531410a7139b5d78c72c3aa7f2a70db204a7e2a30e155b82089c4ae615d3,,,,7.50099
GPT-5.6 Sol,openai,gpt-5.6-sol,20260812T184143Z-1b3947c0,sol-cache-disabled-smoke,,legacy_balanced,cache-disabled smoke test,uncached,2,1,0,500000,500000,500000,500000,0,0,29,,,2026-08-12T18:42:10.419710+00:00,,,1.410594944,1.410997278,8.936679793,8.937372628,10.138894614,2120434,200,gpt-5.6-sol,,,,,,813050c308c6cd27272920809a2f96ab9b4f67e747e4c0e8f1622dffdb22e451,,,,5.001305
GPT-5.6 Sol,openai,gpt-5.6-sol,20260812T184143Z-1b3947c0,sol-cache-disabled-smoke,,legacy_balanced,cache-disabled smoke test,uncached,3,1,0,250000,250000,250000,250000,0,0,32,,,2026-08-12T18:42:16.180043+00:00,,,0.712219358,0.712328346,4.949148320,4.950118722,5.750155242,1079773,200,gpt-5.6-sol,,,,,,88b42dd058403e98a0b97b4e9c9164894b94822c736563db5b2c06125607c611,,,,1.25096
GPT-5.6 Sol,openai,gpt-5.6-sol,20260812T184143Z-1b3947c0,sol-cache-disabled-smoke,,legacy_balanced,cache-disabled smoke test,uncached,4,1,0,100000,100000,100000,100000,0,0,31,,,2026-08-12T18:42:19.725593+00:00,,,0.787177101,0.787307275,2.410210826,2.463307960,3.538369001,444568,200,gpt-5.6-sol,,,,,,75ac309b373b3a7c97cfc1dae87a5ef067289929abac7e366aa8661311b8a295,,,,0.50093
GPT-5.6 Sol,openai,gpt-5.6-sol,20260812T185320Z-b3adf03b,sol-cached-5hits,,legacy_balanced,large-prefix cache-hit experiment,cached,1,1,0,100000,100000,100000,9997,90003,0,32,,,2026-08-12T18:53:29.130416+00:00,,,0.443675327,0.444446642,3.553321643,3.579353697,4.494786253,444690,200,gpt-5.6-sol,,,,,,e81f82419547cfa8a212f421df2e145962cd7c7509ce61ee299bcb18fea1ef8b,,,,0.0959465
GPT-5.6 Sol,openai,gpt-5.6-sol,20260812T185320Z-b3adf03b,sol-cached-5hits,,legacy_balanced,large-prefix cache-hit experiment,cached,2,2,1,100000,100000,100000,9997,90003,0,32,,,2026-08-12T18:53:32.034902+00:00,,,0.498565655,0.498677738,2.055000450,2.067423412,2.896931009,444690,200,gpt-5.6-sol,,,,,,e81f82419547cfa8a212f421df2e145962cd7c7509ce61ee299bcb18fea1ef8b,,,,0.0959465
GPT-5.6 Sol,openai,gpt-5.6-sol,20260812T185320Z-b3adf03b,sol-cached-5hits,,legacy_balanced,large-prefix cache-hit experiment,cached,3,3,2,100000,100000,100000,9997,90003,0,31,,,2026-08-12T18:53:36.888000+00:00,,,0.471897566,0.471997500,3.817305002,3.856630107,4.841774589,444690,200,gpt-5.6-sol,,,,,,e81f82419547cfa8a212f421df2e145962cd7c7509ce61ee299bcb18fea1ef8b,,,,0.0959165
GPT-5.6 Sol,openai,gpt-5.6-sol,20260812T185320Z-b3adf03b,sol-cached-5hits,,legacy_balanced,large-prefix cache-hit experiment,cached,4,4,3,100000,100000,100000,9997,90003,0,29,,,2026-08-12T18:53:42.315570+00:00,,,0.497213004,0.497328229,1.829499137,1.842563771,5.420424823,444690,200,gpt-5.6-sol,,,,,,e81f82419547cfa8a212f421df2e145962cd7c7509ce61ee299bcb18fea1ef8b,,,,0.0958565
GPT-5.6 Sol,openai,gpt-5.6-sol,20260812T185320Z-b3adf03b,sol-cached-5hits,,legacy_balanced,large-prefix cache-hit experiment,cached,5,5,4,100000,100000,100000,9997,90003,0,25,,,2026-08-12T18:53:46.140766+00:00,,,0.550053548,0.550222285,2.393079476,2.437248501,3.817269993,444690,200,gpt-5.6-sol,,,,,,e81f82419547cfa8a212f421df2e145962cd7c7509ce61ee299bcb18fea1ef8b,,,,0.0957365
GPT-5.6 Sol,openai,gpt-5.6-sol,20260812T185320Z-b3adf03b,sol-cached-5hits,,legacy_balanced,large-prefix cache-hit experiment,cached,6,1,0,250000,250000,250000,9997,240003,0,32,,,2026-08-12T18:53:52.575457+00:00,,,0.688965406,0.689094261,1.249255616,1.302977805,1.847402935,1079902,200,gpt-5.6-sol,,,,,,1be009a44d637149ccf09cdc498120cffd89b6a8d8dc63f543899bc2897ca4bc,,,,0.1709465
GPT-5.6 Sol,openai,gpt-5.6-sol,20260812T185320Z-b3adf03b,sol-cached-5hits,,legacy_balanced,large-prefix cache-hit experiment,cached,7,2,1,250000,250000,250000,9997,240003,0,32,,,2026-08-12T18:53:55.974291+00:00,,,0.696137156,0.696240192,2.305834851,2.305884508,3.387607268,1079902,200,gpt-5.6-sol,,,,,,1be009a44d637149ccf09cdc498120cffd89b6a8d8dc63f543899bc2897ca4bc,,,,0.1709465
GPT-5.6 Sol,openai,gpt-5.6-sol,20260812T185320Z-b3adf03b,sol-cached-5hits,,legacy_balanced,large-prefix cache-hit experiment,cached,8,3,2,250000,250000,250000,9997,240003,0,27,,,2026-08-12T18:53:58.650427+00:00,,,0.794511614,0.794611245,1.765411572,1.766409731,2.665522087,1079902,200,gpt-5.6-sol,,,,,,1be009a44d637149ccf09cdc498120cffd89b6a8d8dc63f543899bc2897ca4bc,,,,0.1707965
