model,provider,session_id,design_status,mode,measured_requests,chronological_blocks,minimum_target_tokens,maximum_target_tokens,minimum_reported_input_tokens,maximum_reported_input_tokens,median_ttft_seconds,total_estimated_cost_usd
GPT-5.6 Sol,openai,20260812T184143Z-1b3947c0,legacy_balanced,uncached,4,1,100000,750000,100000,750000,6.943745675,14.254185000
GPT-5.6 Sol,openai,20260812T185320Z-b3adf03b,legacy_balanced,cached,15,5,100000,500000,100000,500000,2.305884508,4.290825000
GPT-5.6 Sol,openai,20260812T190230Z-7a3584cc,legacy_balanced,cached,15,5,91000,491000,91000,491000,2.563413899,3.390255000
Claude Sonnet 5,anthropic,20260812T193724Z-20542404,legacy_balanced,uncached,10,5,375000,625000,375000,625000,8.126621413,10.003200000
Claude Sonnet 5,anthropic,20260812T210421Z-0d4debe7,partial,shared_prefix_cached,1,1,750000,750000,750000,750000,20.292487288,1.498467800
Claude Sonnet 5,anthropic,20260812T210627Z-7267b03c,legacy_balanced,shared_prefix_cached,14,5,100000,750000,100000,750000,4.963379165,10.728309200
GPT-5.6 Sol,openai,20260813T015016Z-f1e93aba,complete_balanced,shared_prefix_cached,2,2,100000,100000,100000,100000,1.468006886,0.983221000
Claude Opus 5,anthropic,20260813T015109Z-12b7c4d4,complete_balanced,shared_prefix_cached,2,2,100000,100000,100000,100000,2.202078934,0.983132000
GPT-5.6 Sol,openai,20260813T103055Z-e05d7bbf,complete_balanced,shared_prefix_cached,12,3,100000,750000,100000,750000,3.971439242,38.846514000
Claude Opus 5,anthropic,20260813T103530Z-338060d6,complete_balanced,shared_prefix_cached,9,3,100000,750000,100000,750000,5.844510935,18.299094000
GPT-5.6 Sol,openai,20260813T103837Z-e9b8b4c2,complete_balanced,uncached,8,2,100000,750000,100000,750000,4.111408232,26.008160000
GPT-5.6 Sol,openai,20260813T131746Z-eee44bbe,complete_balanced,uncached,4,2,375000,750000,375000,750000,9.965582786,22.504815000
Claude Opus 5,anthropic,20260813T133313Z-bf732dd9,partial,shared_prefix_cached,2,2,250000,500000,250000,500000,16.871499071,3.733132000
Claude Opus 5,anthropic,20260813T142834Z-638a096e,complete_balanced,uncached,8,2,50000,750000,50003,750003,5.073509854,14.250920000
Claude Opus 5,anthropic,20260813T142953Z-8dfb4a91,partial,shared_prefix_cached,5,2,50000,750000,50003,750003,5.834618467,10.830805000
Claude Opus 5,anthropic,20260813T143911Z-b976fc5b,complete_balanced,shared_prefix_cached,20,5,50000,750000,50003,750003,6.310772443,35.442620000
GPT-5.6 Terra,openai,20260813T151839Z-94abf5a4,complete_balanced,uncached,8,2,50000,750000,49998,749998,3.783653474,10.200552000
GPT-5.6 Terra,openai,20260813T152640Z-0a256d9f,complete_balanced,uncached,12,3,50000,750000,49998,749998,3.775567858,15.300828000
GPT-5.6 Terra,openai,20260813T153111Z-5a880348,complete_balanced,shared_prefix_cached,20,5,50000,750000,49998,749998,4.260643617,25.390626000
Claude Sonnet 5,anthropic,20260813T165440Z-0e5adc75,complete_balanced,shared_prefix_cached,48,6,50000,900000,49994,899994,4.587834323,37.624051200
GPT-5.6 Sol,openai,20260813T174810Z-877203e7,complete_balanced,uncached,36,6,50000,850000,49998,849998,4.716782410,114.756210000
Claude Opus 5,anthropic,20260814T134405Z-c4566a73,complete_balanced,shared_prefix_cached,48,6,50000,900000,49994,899994,6.107283227,94.060128000
