model,input_tokens,epoch_primary_seconds_per_10k_tokens,floor_quadratic_seconds_per_10k_tokens
GPT-5.6 Terra,100000,0.07147865839526586,0.07109588240173219
GPT-5.6 Terra,272000,0.09908968411611399,0.096803427800761
GPT-5.6 Terra,500000,0.1356903461181685,0.13088087170179918
GPT-5.6 Terra,900000,0.1999020338410711,0.1906658610018662
GPT-5.6 Terra,1000000,0.2159549557717968,0.20561210832688295
GPT-5.6 Terra,2000000,0.37648417507905335,0.35507458157705046
GPT-5.6 Terra,5000000,0.8580718330008231,0.8034620013275529
GPT-5.6 Terra,10000000,1.6607179295371062,1.5507743675783903
GPT-5.6 Sol,100000,0.13648884445374299,0.13560915910245558
GPT-5.6 Sol,272000,0.17231954196975444,0.1727994220640636
GPT-5.6 Sol,500000,0.21981604797935098,0.22209814273410217
GPT-5.6 Sol,900000,0.303143251504959,0.3085871263657488
GPT-5.6 Sol,1000000,0.323975052386361,0.33020937227366043
GPT-5.6 Sol,2000000,0.532293061200381,0.546431831352777
GPT-5.6 Sol,5000000,1.157247087642441,1.1950992085901264
GPT-5.6 Sol,10000000,2.198837131712541,2.276211503985709
Claude Sonnet 5,100000,0.129375848309016,0.11932965500803658
Claude Sonnet 5,272000,0.129375848309016,0.12066648362156364
Claude Sonnet 5,500000,0.129375848309016,0.12243855876042511
Claude Sonnet 5,900000,0.129375848309016,0.12554746251281365
Claude Sonnet 5,1000000,0.129375848309016,0.1263246884509108
Claude Sonnet 5,2000000,0.129375848309016,0.13409694783188214
Claude Sonnet 5,5000000,0.129375848309016,0.1574137259747962
Claude Sonnet 5,10000000,0.129375848309016,0.19627502287965296
Claude Opus 5,100000,0.217917165788098,0.144223355417122
Claude Opus 5,272000,0.217917165788098,0.1761596575556669
Claude Opus 5,500000,0.217917165788098,0.21849382550676136
Claude Opus 5,900000,0.217917165788098,0.2927642955964007
Claude Opus 5,1000000,0.217917165788098,0.3113319131188106
Claude Opus 5,2000000,0.217917165788098,0.49700808834290905
Claude Opus 5,5000000,0.217917165788098,1.0540366140152044
Claude Opus 5,10000000,0.217917165788098,1.9824174901356966
GPT-6 Astra,100000,0.22802345355766585,0.22016076155097278
GPT-6 Astra,272000,0.2680370583817158,0.2658415565250199
GPT-6 Astra,500000,0.32107834849731703,0.3263951684673615
GPT-6 Astra,900000,0.4141332434369683,0.4326295753837502
GPT-6 Astra,1000000,0.43739696717188103,0.4591881771128474
GPT-6 Astra,2000000,0.6700342045210089,0.7247741944038192
GPT-6 Astra,5000000,1.3679459165683931,1.5215322462767347
GPT-6 Astra,10000000,2.5311321033140333,2.849462332731594
